Area Type,Area,Area Name,Standard Occupational Code,Occupational Title,Employment,Mean Wage,Median Wage,Entry Wage,Experienced Wage
10,10,Western New York Region, 29-2071,Medical Records and Health Information Technicians,860,44960,41570,31340,51770
10,2,Central New York Region, 21-1022, Healthcare Social Workers,360,52020,50450,38850,58600
10,10,Western New York Region, 43-4121," Library Assistants, Clerical",320,32250,30030,22630,37060
10,8,North Country Region, 29-2057, Ophthalmic Medical Technicians,80,32620,30850,27610,35130
10,1,Capital Region, 35-0000,Food Preparation and Serving Related Occupations,43200,27310,24130,21632,30220
10,4,Hudson Valley Region, 25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",9510,106140,103110,68610,124900
10,7,New York City Region, 35-2015," Cooks, Short Order",6660,24960,24960,24960,24960
10,2,Central New York Region, 13-1081, Logisticians,130,77670,75800,54220,89390
10,1,Capital Region, 43-4071, File Clerks,460,29930,26930,22370,33710
10,3,Finger Lakes Region, 25-2022,"Middle School Teachers, Except Special and Career/Technical Education",2940,65110,62180,47680,73830
10,4,Hudson Valley Region, 29-1141, Registered Nurses,21490,86220,86930,62560,98050
1,36,New York State, 29-1021," Dentists, General",8340,170730,134770,111300,200440
10,5,Long Island Region, 11-2022, Sales Managers,2440,181610,167740,106140,219340
10,2,Central New York Region, 19-1032, Foresters,n/a,74220,68490,56780,82940
10,8,North Country Region, 43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2820,36000,35180,25340,41330
10,1,Capital Region, 51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",170,41330,40990,30400,46790
10,9,Southern Tier Region, 17-2081, Environmental Engineers,100,80700,75810,52070,95020
10,4,Hudson Valley Region, 11-9121, Natural Sciences Managers,350,168260,148050,106440,199170
10,8,North Country Region, 35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",3980,23460,21950,21632,24730
10,1,Capital Region, 47-2073,Operating Engineers and Other Construction Equipment Operators,1430,57810,53240,37880,67780
10,1,Capital Region, 25-1124,"Foreign Language and Literature Teachers, Postsecondary",260,70060,61100,49440,80370
1,36,New York State, 11-9141,"Property, Real Estate, and Community Association Managers",7310,118530,96280,68340,143630
10,5,Long Island Region, 25-1081," Education Teachers, Postsecondary",530,68190,63260,43730,80420
1,36,New York State, 43-3071, Tellers,25300,30910,30050,25060,33830
10,7,New York City Region, 29-1071, Physician Assistants,5410,115790,115160,92780,127290
10,8,North Country Region, 43-4171, Receptionists and Information Clerks,1150,30690,29410,23900,34090
10,10,Western New York Region, 21-1013, Marriage and Family Therapists,n/a,44690,42880,35010,49530
10,2,Central New York Region, 13-2081," Tax Examiners and Collectors, and Revenue Agents",110,69710,68630,46610,81260
10,6,Mohawk Valley Region, 25-1061,"Anthropology and Archeology Teachers, Postsecondary",n/a,86610,80510,62380,98720
10,5,Long Island Region, 29-9099,"Healthcare Practitioners and Technical Workers, All Other",n/a,86660,90390,63000,98490
10,6,Mohawk Valley Region, 41-3099," Sales Representatives, Services, All Other",500,55140,42210,30320,67550
1,36,New York State, 19-1042," Medical Scientists, Except Epidemiologists",9190,95640,78860,51280,117810
10,5,Long Island Region, 25-9011,Audio-Visual and Multimedia Collections Specialists,n/a,71880,72980,49950,82840
10,8,North Country Region, 31-9095, Pharmacy Aides,180,25220,23380,22070,26800
10,1,Capital Region, 39-3021, Motion Picture Projectionists,n/a,38010,31490,23590,45220
10,5,Long Island Region, 27-3011, Radio and Television Announcers,n/a,54390,36830,22880,70370
10,10,Western New York Region, 51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",220,46790,43020,32690,53840
10,7,New York City Region, 17-1022, Surveyors,590,77950,74490,52910,90480
10,6,Mohawk Valley Region, 17-3023, Electrical and Electronic Engineering Technicians,60,54560,52120,33590,65050
10,4,Hudson Valley Region, 51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",n/a,52860,54580,42300,58150
10,8,North Country Region, 51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",n/a,31300,30750,28600,32660
10,10,Western New York Region, 21-1015, Rehabilitation Counselors,510,34860,31520,24530,40020
10,5,Long Island Region, 17-3023, Electrical and Electronic Engineering Technicians,900,68380,69240,47810,78670
10,3,Finger Lakes Region, 29-1071, Physician Assistants,790,104230,101320,88220,112240
10,10,Western New York Region, 17-1011," Architects, Except Landscape and Naval",360,87170,86180,56710,102390
10,10,Western New York Region, 45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",n/a,54120,53220,43700,59330
10,3,Finger Lakes Region, 53-6031, Automotive and Watercraft Service Attendants,270,23600,21640,21632,24910
10,6,Mohawk Valley Region, 21-0000,Community and Social Service Occupations,4540,47290,43770,29250,56300
10,7,New York City Region, 25-1112," Law Teachers, Postsecondary",1620,140960,109510,40770,191060
10,8,North Country Region, 35-3031, Waiters and Waitresses,2880,27190,21632,21632,30360
10,7,New York City Region, 47-2022, Stonemasons,n/a,103080,114110,63680,122790
10,9,Southern Tier Region, 25-1072," Nursing Instructors and Teachers, Postsecondary",230,79210,72970,46060,95780
10,2,Central New York Region, 25-1042," Biological Science Teachers, Postsecondary",200,88620,69850,46370,109740
10,5,Long Island Region, 19-1022, Microbiologists,200,83160,77620,50310,99580
10,6,Mohawk Valley Region, 47-3012,Helpers--Carpenters,n/a,30930,29720,24550,34120
10,7,New York City Region, 47-2061, Construction Laborers,21120,55990,48300,31200,68390
10,8,North Country Region, 17-3031, Surveying and Mapping Technicians,50,44980,44990,30420,52260
10,3,Finger Lakes Region, 13-1031," Claims Adjusters, Examiners, and Investigators",1150,68600,65010,42210,81800
10,9,Southern Tier Region, 51-9122," Painters, Transportation Equipment",50,39800,40900,28440,45490
10,6,Mohawk Valley Region, 35-2021, Food Preparation Workers,1100,23520,22440,21632,24730
10,8,North Country Region, 51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",n/a,22710,22750,21940,23090
10,1,Capital Region, 49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",n/a,64780,69320,41680,76330
10,4,Hudson Valley Region, 35-9099,"Food Preparation and Serving Related Workers, All Other",n/a,30450,28540,22870,34240
10,1,Capital Region, 49-9051, Electrical Power-Line Installers and Repairers,350,81080,88960,54190,94520
10,9,Southern Tier Region, 35-2011," Cooks, Fast Food",540,23350,21632,21632,24560
10,8,North Country Region, 25-1124,"Foreign Language and Literature Teachers, Postsecondary",40,77290,67850,46420,92730
10,6,Mohawk Valley Region, 19-1023, Zoologists and Wildlife Biologists,n/a,44090,41640,35910,48180
10,10,Western New York Region, 19-3031," Clinical, Counseling, and School Psychologists",600,81190,72900,47450,98050
10,3,Finger Lakes Region, 51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",100,40010,38430,26980,46530
10,7,New York City Region, 25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",9730,54390,40670,24960,69180
10,6,Mohawk Valley Region, 29-1062, Family and General Practitioners,90,186110,165950,139570,209380
10,3,Finger Lakes Region, 49-9099,"Installation, Maintenance, and Repair Workers, All Other",300,49300,48200,38760,54570
10,2,Central New York Region, 31-2022, Physical Therapist Aides,90,28950,28740,23410,31720
10,3,Finger Lakes Region, 47-2081, Drywall and Ceiling Tile Installers,n/a,59680,47050,34310,72360
10,7,New York City Region, 43-4031," Court, Municipal, and License Clerks",2420,71910,73960,44890,85420
10,4,Hudson Valley Region, 19-1042," Medical Scientists, Except Epidemiologists",n/a,91220,84280,48270,112700
10,5,Long Island Region, 17-1012, Landscape Architects,n/a,92820,88400,66100,106180
10,1,Capital Region, 17-1021, Cartographers and Photogrammetrists,n/a,75750,78490,57050,85090
10,4,Hudson Valley Region, 43-9111, Statistical Assistants,n/a,70470,72270,48850,81280
10,1,Capital Region, 21-1091, Health Educators,290,55110,53880,30060,67640
10,2,Central New York Region, 35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,1090,23580,21750,21632,24950
1,36,New York State, 27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",201710,79880,64820,35030,102310
10,4,Hudson Valley Region, 25-2053," Special Education Teachers, Middle School",1890,86700,83910,58950,100580
10,10,Western New York Region, 43-6011,Executive Secretaries and Executive Administrative Assistants,3320,55740,52810,37160,65040
10,7,New York City Region, 47-4071, Septic Tank Servicers and Sewer Pipe Cleaners,560,42600,42360,30710,48540
10,3,Finger Lakes Region, 27-1025, Interior Designers,120,54080,46670,33350,64440
1,36,New York State, 53-7021, Crane and Tower Operators,1220,106940,106730,52770,134020
10,1,Capital Region, 49-2011,"Computer, Automated Teller, and Office Machine Repairers",370,46580,43280,30810,54470
10,7,New York City Region, 13-2051, Financial Analysts,45410,144120,120070,77990,177180
10,1,Capital Region, 47-2081, Drywall and Ceiling Tile Installers,140,47500,46440,40730,50880
10,9,Southern Tier Region, 35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",850,23410,22550,21632,24450
10,9,Southern Tier Region, 19-1011, Animal Scientists,120,63550,60470,49090,70780
10,7,New York City Region, 41-3041, Travel Agents,4310,42590,37490,25240,51260
10,2,Central New York Region, 51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",120,32410,31080,25890,35670
10,5,Long Island Region, 29-1041, Optometrists,490,128320,127340,90670,147140
1,36,New York State, 21-1018,"Substance abuse, behavioral disorder, and mental health counselors¿(OES-specific code and title)",13590,48380,45080,30810,57160
10,2,Central New York Region, 29-1151, Nurse Anesthetists,50,156980,157150,152900,159010
10,7,New York City Region, 51-3092, Food Batchmakers,2070,24960,24960,24960,25990
10,9,Southern Tier Region, 35-1012,First-Line Supervisors of Food Preparation and Serving Workers,1460,34290,32170,25190,38830
10,5,Long Island Region, 51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",210,44840,38960,30680,51910
10,3,Finger Lakes Region, 25-9031, Instructional Coordinators,730,70550,70550,46500,82580
10,1,Capital Region, 29-0000,Healthcare Practitioners and Technical Occupations,34300,76880,63420,40040,95300
10,10,Western New York Region, 31-9095, Pharmacy Aides,180,29050,28220,21632,32880
10,4,Hudson Valley Region, 43-2021, Telephone Operators,n/a,45560,46530,28100,54290
1,36,New York State, 41-0000,Sales and Related Occupations,931500,53300,29950,21880,69010
10,10,Western New York Region, 47-2031, Carpenters,2720,46090,42340,31160,53550
10,10,Western New York Region, 13-2031, Budget Analysts,100,71290,68690,53500,80180
10,2,Central New York Region, 51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",350,32630,31120,24100,36900
10,9,Southern Tier Region, 53-6031, Automotive and Watercraft Service Attendants,190,24040,23490,22330,24900
10,2,Central New York Region, 21-1091, Health Educators,210,62340,58880,40630,73190
10,7,New York City Region, 27-4099,"Media and Communication Equipment Workers, All Other",n/a,84660,70500,36070,108950
10,1,Capital Region, 49-3021, Automotive Body and Related Repairers,510,39830,39070,28760,45360
1,36,New York State, 51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",n/a,59420,59320,51000,63620
10,9,Southern Tier Region, 53-3032, Heavy and Tractor-Trailer Truck Drivers,2870,41250,39090,31690,46020
10,10,Western New York Region, 51-9199," Production Workers, All Other",390,33050,26000,21900,38620
10,10,Western New York Region, 29-2041, Emergency Medical Technicians and Paramedics,930,33170,30850,24100,37700
10,7,New York City Region, 13-2053, Insurance Underwriters,4050,110310,94980,59560,135680
10,5,Long Island Region, 29-2071,Medical Records and Health Information Technicians,1350,53610,50760,39820,60500
10,5,Long Island Region, 41-2022, Parts Salespersons,1870,41250,35630,24560,49590
1,36,New York State, 25-2032,"Career/Technical Education Teachers, Secondary School",4340,74220,71320,50070,86290
10,4,Hudson Valley Region, 43-4041," Credit Authorizers, Checkers, and Clerks",110,49190,51070,35010,56280
10,4,Hudson Valley Region, 23-2011, Paralegals and Legal Assistants,2010,58820,57320,42670,66900
10,7,New York City Region, 51-9031," Cutters and Trimmers, Hand",500,38040,33470,24960,46510
10,10,Western New York Region, 51-3022," Meat, Poultry, and Fish Cutters and Trimmers",160,32420,31540,21670,37790
10,9,Southern Tier Region, 41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1930,58250,51460,33100,70830
10,8,North Country Region, 19-4093, Forest and Conservation Technicians,40,50990,48660,38890,57040
10,10,Western New York Region, 45-4011, Forest and Conservation Workers,n/a,38930,38340,30310,43240
10,3,Finger Lakes Region, 51-9083, Ophthalmic Laboratory Technicians,660,34470,31560,25940,38730
10,1,Capital Region, 29-1065," Pediatricians, General",n/a,198560,192870,166640,214520
10,4,Hudson Valley Region, 15-1141, Database Administrators,680,90450,89010,59580,105890
10,1,Capital Region, 49-9098,"Helpers--Installation, Maintenance, and Repair Workers",300,32790,31050,22350,38010
1,36,New York State, 43-2011,"Switchboard Operators, Including Answering Service",4900,37080,33890,24310,43460
1,36,New York State, 51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",400,44790,45320,34600,49880
10,3,Finger Lakes Region, 51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",670,35870,33430,25040,41280
10,10,Western New York Region, 21-1092,Probation Officers and Correctional Treatment Specialists,420,61200,61520,46670,68460
1,36,New York State, 47-2151, Pipelayers,720,59170,56290,42570,67470
10,3,Finger Lakes Region, 49-9031, Home Appliance Repairers,260,45210,45580,38950,48340
10,3,Finger Lakes Region, 53-1011, Aircraft Cargo Handling Supervisors,n/a,35310,32640,29310,38310
10,8,North Country Region, 25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",220,55430,56330,37400,64440
10,4,Hudson Valley Region, 29-1021," Dentists, General",660,183990,159420,123530,214220
10,10,Western New York Region, 19-4091,"Environmental Science and Protection Technicians, Including Health",200,41080,36630,26420,48410
1,36,New York State, 13-2081," Tax Examiners and Collectors, and Revenue Agents",5020,70050,63440,48060,81050
10,10,Western New York Region, 49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",n/a,77900,77650,62500,85590
10,3,Finger Lakes Region, 25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",7050,68780,63530,45490,80430
1,36,New York State, 51-5111, Prepress Technician and Workers,1890,46200,42330,29120,54740
10,1,Capital Region, 45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",n/a,27250,23400,21632,30560
10,8,North Country Region, 47-5021," Earth Drillers, Except Oil and Gas",n/a,76430,51660,45960,91660
10,1,Capital Region, 43-4111," Interviewers, Except Eligibility and Loan",750,33340,31290,25860,37080
1,36,New York State, 47-5042, Mine Cutting and Channeling Machine Operators,n/a,40470,40240,32930,44250
10,8,North Country Region, 11-9032,"Education Administrators, Elementary and Secondary School",300,100900,98590,79440,111630
10,7,New York City Region, 25-1126," Philosophy and Religion Teachers, Postsecondary",1500,86060,71720,44290,106950
10,9,Southern Tier Region, 19-1032, Foresters,n/a,63630,65350,51500,69690
10,7,New York City Region, 27-2021, Athletes and Sports Competitors,n/a,114040,76090,29910,156100
10,1,Capital Region, 21-1019," Counselors, All Other",n/a,69890,73600,50620,79520
10,4,Hudson Valley Region, 47-2161, Plasterers and Stucco Masons,n/a,78160,86330,49160,92660
10,9,Southern Tier Region, 51-3099," Food Processing Workers, All Other",80,27420,24430,22690,29790
10,1,Capital Region, 13-2041, Credit Analysts,140,74460,68580,42910,90240
10,2,Central New York Region, 49-2011,"Computer, Automated Teller, and Office Machine Repairers",240,42360,41650,32540,47280
10,8,North Country Region, 17-3026, Industrial Engineering Technicians,30,57400,59470,43740,64240
10,7,New York City Region, 13-1081, Logisticians,1210,75920,68690,51240,88260
1,36,New York State, 27-4012, Broadcast Technicians,4630,59070,55520,31290,72960
1,36,New York State, 51-8031,Water and Wastewater Treatment Plant and System Operators,4450,56610,54500,39990,64910
10,10,Western New York Region, 45-4022, Logging Equipment Operators,n/a,41500,40150,29330,47580
10,3,Finger Lakes Region, 13-2011, Accountants and Auditors,4320,74290,65690,47850,87520
10,1,Capital Region, 25-4031, Library Technicians,390,33780,33740,23030,39160
1,36,New York State, 33-3011, Bailiffs,4050,63290,69370,42440,73720
10,5,Long Island Region, 15-1131, Computer Programmers,2270,90620,86570,45180,113340
10,2,Central New York Region, 33-9093, Transportation Security Screeners,90,39630,38100,34060,42410
10,10,Western New York Region, 25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",5220,70540,67740,47130,82240
10,7,New York City Region, 19-2031, Chemists,830,87090,75630,52850,104200
10,7,New York City Region, 41-9011, Demonstrators and Product Promoters,1920,34200,29440,24960,40070
10,5,Long Island Region, 19-4021, Biological Technicians,400,47160,41720,31140,55170
10,4,Hudson Valley Region, 17-1011," Architects, Except Landscape and Naval",n/a,83330,61010,48410,100790
10,3,Finger Lakes Region, 17-3031, Surveying and Mapping Technicians,170,54020,54060,39500,61280
10,7,New York City Region, 49-9061, Camera and Photographic Equipment Repairers,n/a,59240,52210,41800,67960
1,36,New York State, 43-9022, Word Processors and Typists,17560,43510,41830,31170,49680
1,36,New York State, 15-0000,Computer and Mathematical Occupations,259090,96840,89290,53740,118390
10,3,Finger Lakes Region, 51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",50,42880,43110,34340,47140
10,7,New York City Region, 29-1122, Occupational Therapists,2990,102150,100150,69270,118600
10,8,North Country Region, 41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",80,67670,69140,43000,80000
10,10,Western New York Region, 11-1011, Chief Executives,740,172750,133720,94900,211680
10,5,Long Island Region, 19-1029," Biological Scientists, All Other",n/a,78120,71040,48420,92970
10,2,Central New York Region, 25-1125," History Teachers, Postsecondary",120,71270,63920,41280,86260
10,3,Finger Lakes Region, 29-1066, Psychiatrists,60,224220,204200,174710,248980
1,36,New York State, 21-1023, Mental Health and Substance Abuse Social Workers,10580,61400,58150,40800,71700
10,2,Central New York Region, 17-3011, Architectural and Civil Drafters,250,60480,59460,40010,70720
10,7,New York City Region, 33-9032, Security Guards,79750,35290,30920,24960,41820
10,10,Western New York Region, 47-4021, Elevator Installers and Repairers,130,81450,88650,54180,95080
10,8,North Country Region, 17-2081, Environmental Engineers,80,76190,76370,49480,89550
10,10,Western New York Region, 25-4011, Archivists,n/a,43710,40020,28310,51410
10,9,Southern Tier Region, 11-9199," Managers, All Other",450,98110,71830,41360,126490
10,3,Finger Lakes Region, 39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",80,23920,21632,21632,25430
10,3,Finger Lakes Region, 19-1022, Microbiologists,50,90150,83170,53650,108400
1,36,New York State, 53-2011," Airline Pilots, Copilots, and Flight Engineers",6060,118210,110120,69430,142600
10,5,Long Island Region, 43-1011,First-Line Supervisors of Office and Administrative Support Workers,17210,69860,66020,47970,80800
10,1,Capital Region, 35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1250,23990,22530,21632,25460
10,5,Long Island Region, 25-2012," Kindergarten Teachers, Except Special Education",1060,102210,109330,73930,116360
10,3,Finger Lakes Region, 29-1131, Veterinarians,280,99260,98560,81110,108330
1,36,New York State, 29-1022, Oral and Maxillofacial Surgeons,430,241600,,130890,296950
10,9,Southern Tier Region, 43-2011,"Switchboard Operators, Including Answering Service",180,29840,28090,23010,33250
10,6,Mohawk Valley Region, 13-1051, Cost Estimators,160,62520,54570,44110,71730
10,3,Finger Lakes Region, 19-3093, Historians,70,30040,29080,27620,31250
10,2,Central New York Region, 25-4031, Library Technicians,n/a,26240,22420,21632,29100
10,7,New York City Region, 37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,5650,58450,58490,39780,67780
10,9,Southern Tier Region, 43-4041," Credit Authorizers, Checkers, and Clerks",n/a,46670,43230,34300,52860
10,4,Hudson Valley Region, 23-2091, Court Reporters,n/a,90650,92550,63080,104430
10,9,Southern Tier Region, 13-1075, Labor Relations Specialists,130,70900,66880,42630,85040
10,10,Western New York Region, 49-9011, Mechanical Door Repairers,n/a,42530,43990,28710,49440
10,2,Central New York Region, 35-2012," Cooks, Institution and Cafeteria",850,32050,30960,23930,36100
10,10,Western New York Region, 19-4092, Forensic Science Technicians,n/a,65420,65080,54020,71130
10,7,New York City Region, 23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",850,99180,96320,84670,106440
10,8,North Country Region, 53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",1810,29090,26530,22400,32440
10,1,Capital Region, 41-2022, Parts Salespersons,870,41280,38570,27920,47960
10,7,New York City Region, 17-3025, Environmental Engineering Technicians,n/a,77030,69490,43490,93800
1,36,New York State, 29-1123, Physical Therapists,15750,85870,83350,64020,96790
10,4,Hudson Valley Region, 19-2042,"Geoscientists, Except Hydrologists and Geographers",n/a,65870,62190,53460,72070
10,8,North Country Region, 13-1111, Management Analysts,190,83140,71770,51010,99210
10,1,Capital Region, 25-3021, Self-Enrichment Education Teachers,1520,43940,40830,26050,52890
10,8,North Country Region, 17-0000,Architecture and Engineering Occupations,1090,71960,68350,45710,85090
10,1,Capital Region, 27-1025, Interior Designers,120,67270,69500,45800,78010
10,2,Central New York Region, 27-1025, Interior Designers,50,68840,61490,43220,81640
10,9,Southern Tier Region, 51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",160,40120,37810,26530,46910
10,4,Hudson Valley Region, 51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",n/a,39940,40850,30150,44840
10,4,Hudson Valley Region, 19-1041, Epidemiologists,n/a,72640,63100,59700,79110
10,10,Western New York Region, 23-2011, Paralegals and Legal Assistants,1340,48630,49450,33920,55990
10,6,Mohawk Valley Region, 51-5111, Prepress Technician and Workers,60,33840,33520,23600,38970
10,5,Long Island Region, 29-1061, Anesthesiologists,610,306710,,,
10,8,North Country Region, 35-2011," Cooks, Fast Food",520,24220,22860,21632,25820
1,36,New York State, 31-1014, Nursing Assistants,94980,36090,36120,26880,40690
10,10,Western New York Region, 29-2032, Diagnostic Medical Sonographers,260,72290,70780,58460,79200
10,2,Central New York Region, 39-0000,Personal Care and Service Occupations,12980,28920,25050,22200,32280
10,1,Capital Region, 17-2072," Electronics Engineers, Except Computer",210,95600,92300,60030,113380
10,8,North Country Region, 47-2031, Carpenters,900,45410,41120,33580,51330
10,4,Hudson Valley Region, 29-2055, Surgical Technologists,540,53470,51440,39180,60620
10,10,Western New York Region, 19-4099,"Life, Physical, and Social Science Technicians, All Other",290,38720,36710,24340,45910
10,3,Finger Lakes Region, 39-5012," Hairdressers, Hairstylists, and Cosmetologists",1600,29600,26440,22340,33220
10,4,Hudson Valley Region, 37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",860,57800,53630,37880,67760
10,5,Long Island Region, 51-9011, Chemical Equipment Operators and Tenders,440,41420,41400,25400,49430
10,4,Hudson Valley Region, 33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service",820,27730,25450,22460,30370
10,7,New York City Region, 31-1011, Home Health Aides,147580,24960,24960,24960,25620
10,7,New York City Region, 51-9071, Jewelers and Precious Stone and Metal Workers,3350,51970,45390,25700,65110
10,3,Finger Lakes Region, 29-2053, Psychiatric Technicians,150,32330,30730,28220,34380
10,7,New York City Region, 31-9011, Massage Therapists,1310,69400,70310,32550,87830
10,1,Capital Region, 13-1121," Meeting, Convention, and Event Planners",430,56710,49760,35940,67100
1,36,New York State, 43-5021, Couriers and Messengers,8230,33330,29110,21632,39250
10,7,New York City Region, 43-5021, Couriers and Messengers,4670,32840,26540,24960,38700
10,7,New York City Region, 29-2057, Ophthalmic Medical Technicians,740,42170,41090,30610,47950
10,4,Hudson Valley Region, 51-9196,"Paper Goods Machine Setters, Operators, and Tenders",n/a,32070,29510,23640,36280
10,8,North Country Region, 33-9091, Crossing Guards,30,23900,21632,21632,25390
10,10,Western New York Region, 25-1124,"Foreign Language and Literature Teachers, Postsecondary",140,71210,63630,38410,87610
10,2,Central New York Region, 43-4071, File Clerks,230,32500,30810,23460,37020
1,36,New York State, 17-3022, Civil Engineering Technicians,1790,61790,60260,44110,70630
10,5,Long Island Region, 27-3012, Public Address System and Other Announcers,n/a,48170,37330,29270,57610
10,6,Mohawk Valley Region, 49-9063, Musical Instrument Repairers and Tuners,n/a,32340,29380,26770,35130
10,9,Southern Tier Region, 19-2031, Chemists,190,108350,104120,58950,133050
10,3,Finger Lakes Region, 27-2021, Athletes and Sports Competitors,n/a,60400,31170,22630,79290
10,10,Western New York Region, 11-9021, Construction Managers,510,89860,80870,62700,103440
10,7,New York City Region, 49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",8610,86430,84940,56560,101360
10,9,Southern Tier Region, 47-2181, Roofers,310,39680,38430,28890,45080
10,7,New York City Region, 51-8031,Water and Wastewater Treatment Plant and System Operators,580,75480,77820,61620,82410
10,6,Mohawk Valley Region, 27-3031, Public Relations Specialists,170,53520,44140,30160,65200
10,2,Central New York Region, 51-1011,First-Line Supervisors of Production and Operating Workers,1650,66920,62850,41090,79830
10,9,Southern Tier Region, 51-5112, Printing Press Operators,330,45810,42180,32750,52340
10,5,Long Island Region, 53-6021, Parking Lot Attendants,2390,26000,24240,22960,27510
10,1,Capital Region, 49-0000,"Installation, Maintenance, and Repair Occupations",19530,51270,47310,30340,61740
10,8,North Country Region, 35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",190,25890,23520,22150,27760
10,1,Capital Region, 51-8013, Power Plant Operators,140,83380,88170,56640,96750
10,2,Central New York Region, 17-3022, Civil Engineering Technicians,80,64940,65240,49240,72790
10,3,Finger Lakes Region, 51-6052," Tailors, Dressmakers, and Custom Sewers",n/a,31080,29000,23470,34890
10,9,Southern Tier Region, 33-0000,Protective Service Occupations,5460,53380,51990,27150,66490
1,36,New York State, 17-1012, Landscape Architects,1330,78800,76550,51520,92450
1,36,New York State, 39-6012, Concierges,5880,44040,44270,28550,51790
10,1,Capital Region, 47-3012,Helpers--Carpenters,50,33440,35000,28590,35870
10,2,Central New York Region, 49-3021, Automotive Body and Related Repairers,330,45180,42680,28830,53350
10,6,Mohawk Valley Region, 25-4012, Curators,n/a,60530,55450,38940,71320
1,36,New York State, 39-9031, Fitness Trainers and Aerobics Instructors,21630,62480,59680,27780,79830
1,36,New York State, 53-7011, Conveyor Operators and Tenders,560,39860,42650,27700,45950
10,1,Capital Region, 21-1022, Healthcare Social Workers,710,52710,52380,41300,58410
10,5,Long Island Region, 43-6012, Legal Secretaries,2770,52190,53380,33010,61780
10,10,Western New York Region, 11-9041, Architectural and Engineering Managers,610,144850,139340,101030,166760
1,36,New York State, 33-9011, Animal Control Workers,770,37810,33800,26680,43380
10,9,Southern Tier Region, 43-4061," Eligibility Interviewers, Government Programs",350,43560,44330,34060,48310
1,36,New York State, 51-5113, Print Binding and Finishing Workers,1540,38910,37130,25810,45450
10,7,New York City Region, 21-1018,"Substance abuse, behavioral disorder, and mental health counselors¿(OES-specific code and title)",5420,52940,51590,32200,63300
10,6,Mohawk Valley Region, 37-3011, Landscaping and Groundskeeping Workers,980,29590,27500,22100,33340
10,7,New York City Region, 43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",3880,35990,35040,24960,42020
10,1,Capital Region, 51-1011,First-Line Supervisors of Production and Operating Workers,1710,70840,66270,42740,84890
10,8,North Country Region, 35-3041," Food Servers, Nonrestaurant",290,24930,23950,21660,26560
10,10,Western New York Region, 11-9199," Managers, All Other",880,101520,96650,56420,124070
10,2,Central New York Region, 15-1131, Computer Programmers,550,78990,77530,51350,92810
10,6,Mohawk Valley Region, 29-2033, Nuclear Medicine Technologists,n/a,75430,75350,55640,85320
10,3,Finger Lakes Region, 31-9092, Medical Assistants,870,33770,32480,27570,36870
1,36,New York State, 19-1099," Life Scientists, All Other",n/a,78520,72880,58220,88670
