SOC,Occupation,Probability,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,0.86,1010,120,1840,810,11690,500,670,220,0,4870,2060,270,380,2150,2020,820,910,1060,1540,590,1560,1780,2490,1040,800,2020,310,420,700,290,1100,520,3690,2920,160,2750,1530,1510,2640,200,910,200,3020,5140,450,0,3040,2970,490,1480,130
31-9799,Healthcare Support Workers; All Other,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33-1011,First-Line Supervisors of Correctional Officers,0.025,440,80,1580,360,4580,0,700,0,50,1910,0,50,340,1550,1250,280,300,900,1160,170,2120,110,1030,540,390,560,150,390,290,100,580,540,3940,1160,170,580,590,410,1330,0,390,50,810,4180,320,50,2180,870,110,790,100
33-1012,First-Line Supervisors of Police and Detectives,0.0044,1180,300,2670,1410,0,1430,1840,310,0,3930,3580,630,610,6430,2000,920,1790,1600,1960,350,3710,4040,2450,1840,850,1810,250,580,860,460,3200,740,12160,2510,220,2530,2500,1220,3330,620,1720,140,3860,2730,920,180,2600,2390,250,1650,280
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,0.0036,1010,160,2390,800,2200,1200,1220,50,0,2970,1750,450,310,3530,880,450,1140,1030,1650,290,1830,2890,910,610,770,970,110,170,530,360,1190,800,3770,1210,150,2420,1410,1330,910,700,1260,100,2020,1500,600,60,1580,2230,50,940,120
33-2011,Firefighters,0.17,4520,780,7600,2420,30040,5290,3310,430,0,24250,12380,1780,1770,17170,7710,1640,3570,3660,6490,2220,4050,11910,5600,5940,2700,6790,460,1030,1660,1710,5460,1990,10490,14900,430,18810,3500,3200,5220,1710,5370,520,5140,27870,2570,230,9980,8090,980,9570,420
33-2021,Fire Inspectors and Investigators,0.48,120,0,270,40,860,170,360,160,0,810,550,0,0,420,220,30,80,110,110,70,170,190,220,120,270,230,0,130,130,50,1010,0,520,620,0,360,170,140,210,60,240,0,0,1370,170,30,250,230,50,170,0
33-2022,Forest Fire Inspectors and Prevention Specialists,0.048,50,0,0,160,310,50,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,50,0,0,240,0,0,0,0,0,40,0,0,0,0,0,0,60,0,0,0,0,0,50,0,0,0,0,0,0,0
33-3011,Bailiffs,0.36,80,0,300,100,290,440,0,0,0,1240,620,50,70,580,560,220,60,740,400,140,130,0,590,140,150,210,0,70,160,90,70,0,3960,180,230,1460,100,70,520,0,260,0,340,830,120,0,510,180,50,200,0
33-3012,Correctional Officers and Jailers,0.6,5540,1240,15190,5140,37050,0,3880,0,1110,32930,16190,1560,1930,14290,7420,3110,3960,6640,8430,1640,7260,6400,9850,0,6550,8320,1170,2410,0,1010,10180,4140,34460,15850,840,12900,4500,4050,17020,0,6720,1350,8990,49720,2080,570,13630,6070,3370,6970,890
33-3021,Detectives and Criminal Investigators,0.34,1310,100,6130,490,12040,1710,930,90,2790,6130,3200,470,400,2710,1120,370,870,670,2160,580,960,1900,1840,1290,880,1560,440,310,540,340,2860,1610,8920,2830,280,2070,900,630,2870,300,1030,210,1360,16900,370,230,3430,2250,180,1270,170
33-3031,Fish and Game Wardens,0.08,200,0,110,0,360,0,90,0,0,0,450,90,110,130,0,120,120,0,0,120,110,90,190,0,40,0,120,0,40,0,50,70,360,430,100,140,130,0,0,0,30,120,350,470,0,40,220,110,170,330,0
33-3041,Parking Enforcement Workers,0.84,90,0,50,30,1680,100,120,30,0,490,250,40,40,590,70,60,0,30,160,0,170,320,180,140,40,60,30,0,50,90,430,0,490,0,0,160,40,110,400,80,70,0,0,420,90,0,530,200,90,120,0
33-3051,Police and Sheriff’s Patrol Officers,0.098,10410,1110,11550,5760,70790,9360,6980,1810,5250,39020,24360,2690,2370,32780,11550,5140,5900,7200,10510,2060,13710,17550,16100,8850,7450,13420,1650,3360,4560,2750,21390,4460,47870,22040,1510,24620,7360,4990,26970,2070,11600,1750,12450,62580,4400,1280,18470,9210,3720,11810,1140
33-3052,Transit and Railroad Police,0.57,0,0,0,0,460,0,0,0,0,0,420,0,0,50,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,330,0,1480,0,0,250,0,0,80,0,0,0,80,620,0,0,0,30,0,0,0
33-9011,Animal Control Workers,0.21,220,40,200,170,1650,220,260,0,0,540,440,0,60,430,250,60,180,230,270,180,150,430,250,40,190,210,50,0,90,70,300,190,840,550,0,350,310,60,230,60,200,50,220,1490,190,80,370,180,90,170,50
33-9021,Private Detectives and Investigators,0.31,220,40,180,0,5110,460,270,100,100,3550,970,80,0,1060,220,60,80,140,370,0,410,1080,310,210,0,240,80,0,260,180,520,380,1960,540,0,830,190,380,1360,0,180,30,600,2400,100,0,0,300,0,200,0
33-9031,Gaming Surveillance Officers and Gaming Investigators,0.95,60,0,360,0,1090,140,280,80,0,400,0,0,80,150,410,240,90,0,290,0,90,0,510,400,360,280,80,0,800,0,220,280,190,0,90,540,1080,200,570,0,0,90,0,0,0,0,0,390,80,230,0
33-9032,Security Guards,0.84,12920,2070,22510,6220,146740,15330,11610,3490,15140,85510,28840,9770,2800,49370,17160,5890,6280,11050,16640,1920,27720,21590,24900,10950,10400,17000,1560,4660,21230,2760,39110,6320,112750,27520,1430,32280,11550,8280,43790,2930,14210,1120,23350,88360,5650,1120,32970,18880,5070,11430,1000
33-9091,Crossing Guards,0.49,530,180,1480,120,7300,2180,1180,470,250,4190,860,110,570,2960,1640,460,260,440,990,570,800,1400,1290,0,320,180,150,90,1450,0,5700,400,8390,850,80,1630,250,2380,6210,450,540,50,1010,5900,1500,450,820,1790,410,1070,160
33-9092,Lifeguards; Ski Patrol; and Other Recreational Protective Service Workers,0.67,1340,310,1870,450,16110,4270,1500,310,220,7630,3400,1010,530,8330,3230,1980,1730,1120,920,520,2170,3390,3210,3000,290,3970,280,1060,1520,480,4560,790,8760,5020,610,6960,1010,2080,4920,340,1080,470,2870,13360,2160,320,0,2680,540,3920,390
35-1011,Chefs and Head Cooks,0.1,610,700,3960,730,18610,2700,2420,490,1170,8240,4130,1630,690,4810,1710,1240,1180,890,1850,750,2340,4650,2930,2290,960,1930,450,380,3440,990,2700,610,15100,2130,330,4090,1030,1150,3640,530,3450,80,3420,8280,850,350,3080,2010,280,1870,300
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,0.63,16320,1740,19140,9470,93570,15160,7870,3380,3710,62790,27860,5060,3450,31790,22240,8800,10180,14640,17240,3620,18620,18810,27660,15090,9120,21530,3450,6660,9380,3480,18710,7860,46410,35780,2560,34680,13860,11270,31310,3220,16290,1900,17250,79620,8070,1770,25810,19140,5240,13840,2170
35-2011,Cooks; Fast Food,0.81,6940,780,17540,6980,102780,7280,6380,720,2030,11160,23160,2350,6730,18980,8300,3720,7550,5600,5910,910,7640,7080,14110,400,10920,9530,3070,2710,8400,1330,9300,3620,16790,8100,1450,16000,15520,9740,8410,1480,14210,1940,14390,51680,2650,640,13490,5420,1720,4630,1030
35-2012,Cooks; Institution and Cafeteria,0.83,10700,960,5090,6910,28680,8210,3530,2670,1620,12950,14690,1580,3160,15500,12650,7520,5930,11260,5510,1820,4440,7970,8830,7570,7370,14620,2150,4260,1580,1550,7590,2890,16020,7790,1490,17730,10280,5610,20480,1060,8210,2540,9750,37150,3760,1130,7300,10150,5370,11000,1320
35-2013,Cooks; Private Household,0.3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35-2014,Cooks; Restaurant,0.96,15790,1900,24500,10290,133870,30270,13840,4100,6200,101520,32510,8410,5760,43900,27090,12060,9250,16040,16690,4980,17940,28100,36240,25530,9530,26100,4720,5260,20860,5580,20480,7340,67300,42100,2700,37660,13600,22290,50470,4900,21750,1830,21680,101210,8670,2430,32940,28820,6110,21460,2790
35-2015,Cooks; Short Order,0.94,3100,430,1460,580,20350,1400,1840,120,350,6550,6330,1260,940,6260,1610,1900,2440,1950,4110,1920,4110,4000,4390,1300,2280,3240,1820,4460,1950,3230,7130,940,12070,3970,280,12360,2230,970,3600,1300,4210,1660,6500,20570,520,520,2150,4030,420,2570,280
35-2021,Food Preparation Workers,0.87,9460,4680,11220,7110,108830,10540,10090,2010,3430,58490,30700,7710,3870,36610,20450,5640,10510,6930,33090,7020,16120,17290,20530,8840,9110,14100,3560,3810,11970,3160,30810,4850,63570,18160,2280,24990,9040,14010,28010,4620,10570,2890,16530,60140,7170,1730,18740,21680,2450,10110,1430
35-3011,Bartenders,0.77,3700,1740,11150,2160,57340,12560,7740,2110,4310,42510,10410,3200,2890,26410,12270,8070,4240,4070,9190,3180,10080,17680,17640,17270,2430,9910,5340,5610,14870,3520,14740,2730,43670,11890,3690,22950,5420,9040,32390,3690,7560,3160,7500,40160,2290,1880,10590,13520,2560,28120,2180
35-3021,Combined Food Preparation and Serving Workers; Including Fast Food,0.92,49320,4530,64110,30910,372200,65140,29790,11720,8750,228350,112540,12880,11350,140420,85810,40890,25980,68350,29030,9700,48940,57700,114410,66370,19750,73810,11050,23240,30950,12800,52720,20740,158160,151900,7370,163790,34520,34950,146380,9560,52450,9390,74390,330510,41490,6150,92780,81160,20910,71230,4750
35-3022,Counter Attendants; Cafeteria; Food Concession; and Coffee Shop,0.96,4580,2540,8340,1750,47970,4530,5480,1320,1680,37770,11930,5470,2370,20420,6880,6770,4650,2260,4900,3920,9410,27500,10180,15060,3010,8220,870,3080,4670,1850,30370,2320,31470,10990,1550,17230,6810,9950,10470,3640,2380,3000,10610,49540,4040,1100,11910,13380,2170,6150,1050
35-3031,Waiters and Waitresses,0.94,32420,4260,53580,19360,280100,52540,28430,6950,8720,217790,79130,16110,11410,91370,52880,24180,22720,29370,38810,11740,42360,61350,79900,50230,19390,50330,8540,15270,39450,12240,59810,16370,155540,79120,7330,98150,27610,33100,98780,10220,36570,7240,50690,219680,18800,5400,70230,48380,12110,43190,5370
35-3041,Food Servers; Nonrestaurant,0.86,1960,280,5870,1750,24830,7410,3510,1130,1650,13840,4810,2220,450,11670,5780,2810,3040,1510,3870,690,6630,5500,5990,7430,2240,6630,1010,1800,1750,1150,11600,2960,16540,5220,1200,14530,4530,2850,11400,860,2170,160,6950,20980,1030,350,8150,4360,160,6160,160
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,0.91,2160,920,9610,1670,71460,7490,3430,1270,4730,34940,8110,5130,1470,19410,7020,2270,3680,3420,7380,800,10580,8280,8790,4040,1920,7280,1040,1360,13070,1090,10710,2650,33390,8870,870,11320,3700,4270,14900,1750,3050,3050,5250,37690,2330,1050,8180,8240,980,6500,500
35-9021,Dishwashers,0.77,4790,1670,9560,3440,86200,8300,6270,1520,4330,36330,14900,4050,2720,16900,8460,3600,4000,3820,5380,2550,9680,14870,15210,7270,2540,8810,1910,2280,10450,2470,10450,2900,34320,12550,1180,13770,4150,6290,20400,2100,5910,1840,8300,35240,3550,1350,12150,12870,1980,9850,1060
35-9031,Hosts and Hostesses; Restaurant; Lounge; and Coffee Shop,0.97,4900,910,8460,1970,47940,9430,3860,1770,2560,28930,12410,3530,1870,14510,7980,3520,3660,5580,5490,1220,7160,10280,11460,6550,2810,7490,930,1670,5990,2020,9660,2630,20930,12750,900,16140,5240,3650,16330,1350,6880,720,9260,39280,3270,570,11190,7660,2120,6280,710
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,0.94,2510,370,2890,1740,17140,2720,2150,690,1370,10090,4450,1350,970,6240,4020,1810,1650,2170,2540,600,4280,4490,3940,2510,1440,3210,580,1120,3360,750,3510,1050,13130,4390,750,4790,1590,1850,6510,770,2880,430,3440,9060,1420,510,5320,2520,1250,2270,530
37-1012,First-Line Supervisors of Landscaping; Lawn Service; and Groundskeeping Workers,0.57,2020,0,3230,1210,11370,2210,1530,290,60,9430,3190,740,660,4440,2240,990,1360,1240,1000,420,2650,3360,3440,2340,780,1490,360,600,850,600,2250,560,4770,2600,330,3860,1200,940,3170,430,1960,180,1890,6680,1010,270,2750,1670,480,1610,230
37-2011,Janitors and Cleaners; Except Maids and Housekeeping Cleaners,0.66,30520,6240,36490,16520,224110,36060,30550,8630,15030,121760,53000,13070,9130,86230,44630,23870,20770,24250,28240,10530,41550,53960,59850,45610,16990,43190,8190,14210,31090,9800,64260,12580,196790,55430,7050,85470,21170,24530,89770,7060,30990,8330,36990,168060,21710,4970,63110,42890,8630,42760,5090
37-2012,Maids and Housekeeping Cleaners,0.69,8890,3080,14740,8100,99000,16720,8020,2120,4250,82510,24040,11930,5120,33390,17520,10220,7050,12480,15100,4000,14480,18530,22840,15390,10740,18010,6220,6240,26320,4510,23170,7380,50790,31130,4230,26430,10640,14140,33230,2800,16470,4420,21410,68440,8270,2150,24500,17580,6470,16170,3260
37-2021,Pest Control Workers,0.66,2000,0,1980,1070,9490,600,430,260,30,10530,4230,660,210,1420,970,440,750,850,1480,220,1290,1220,850,460,890,1190,60,260,600,240,1420,340,2910,3470,0,1610,900,410,2190,190,2070,0,2120,5840,410,70,2350,950,320,490,50
37-3011,Landscaping and Groundskeeping Workers,0.95,12860,980,18240,5660,104820,23070,13350,3050,660,82520,22520,7020,5900,34450,17110,7860,8720,9090,8780,4880,16950,22850,30840,15260,5860,15770,4010,5400,10950,5170,29210,4360,46440,30920,2340,35550,7850,11490,32860,4150,13790,2510,12530,66770,9640,2750,26680,19630,4320,16110,2120
37-3012,Pesticide Handlers; Sprayers; and Applicators; Vegetation,0.97,130,0,770,260,3090,0,100,50,0,2610,850,70,270,1350,1090,1170,500,190,370,0,400,0,860,350,70,510,470,290,90,0,160,110,560,220,260,760,490,170,960,0,290,580,590,1160,270,0,330,650,80,540,220
37-3013,Tree Trimmers and Pruners,0.77,240,120,310,350,6570,0,580,0,30,1790,1150,250,230,510,530,290,0,900,250,240,1470,1080,1530,0,0,1380,50,0,0,420,570,0,1520,2370,0,1150,780,0,2800,0,600,280,900,4300,0,260,0,420,150,560,0
39-1011,Gaming Supervisors,0.28,100,40,320,40,1680,300,0,120,0,490,0,0,0,500,620,730,190,0,730,0,0,0,1070,480,980,440,0,30,5750,0,1280,270,370,310,160,170,1050,140,980,0,40,50,40,50,0,0,0,680,130,170,0
39-1012,Slot Supervisors,0.54,60,0,220,0,1310,110,0,40,0,320,0,0,0,110,100,150,80,50,400,0,100,0,640,190,410,130,0,0,1200,0,0,330,110,0,50,80,190,0,260,0,0,0,0,0,0,0,0,170,380,90,0
39-1021,First-Line Supervisors of Personal Service Workers,0.076,2850,380,5390,1190,19700,3830,3110,650,350,12190,3210,1130,880,4760,3280,2490,2160,2770,3110,1350,4720,5690,5820,4360,1000,3200,590,1210,2180,900,6010,1710,17190,5310,630,5620,1490,2050,9560,1000,2050,420,3760,11990,1440,440,5470,3810,970,4680,400
39-2011,Animal Trainers,0.1,50,30,160,160,2250,210,160,50,0,1250,280,100,180,820,110,90,0,460,200,60,290,210,350,180,0,240,0,0,50,70,390,110,720,390,0,350,170,140,360,0,170,0,170,910,130,0,520,440,80,180,0
39-2021,Nonfarm Animal Caretakers,0.82,2690,340,3250,1400,19730,4840,2300,660,410,11830,5110,570,1120,8580,3760,1800,2200,3560,2190,810,2710,4680,6360,3220,840,3550,700,1260,1800,900,5570,1130,13220,6620,320,6660,1900,2460,6600,0,3150,600,3100,14460,1430,450,6840,4470,910,3270,340
39-3011,Gaming Dealers,0.96,0,90,1750,0,15930,1190,0,610,0,3540,0,0,0,1930,2460,1340,350,0,3220,0,0,0,3430,2150,3870,1630,0,0,21500,0,0,990,1000,970,850,0,1890,400,4330,0,160,280,0,180,0,0,0,6090,1040,0,0
39-3012,Gaming and Sports Book Writers and Runners,0.91,330,310,390,0,1040,0,0,70,0,0,0,0,0,0,0,0,0,180,120,0,0,0,230,840,90,0,440,560,1490,0,30,190,680,0,190,260,0,100,200,0,150,150,0,810,0,0,0,390,0,0,0
39-3021,Motion Picture Projectionists,0.97,0,0,190,60,280,190,0,0,0,910,50,0,30,490,0,70,60,0,320,60,0,0,170,0,30,30,70,70,0,0,160,0,190,100,0,0,80,0,270,0,0,0,70,510,70,0,170,60,0,50,0
39-3031,Ushers; Lobby Attendants; and Ticket Takers,0.96,650,0,2130,550,15240,3190,1050,140,0,7810,3400,720,740,4730,1810,770,1110,1030,2080,250,2340,2400,3120,2190,470,2680,160,580,2470,380,2670,750,9250,4480,380,2490,1560,940,6070,140,1790,310,3090,7430,2040,50,2540,3650,350,2550,130
39-3091,Amusement and Recreation Attendants,0.72,1910,680,6030,1310,44960,7070,1660,1420,210,32270,6650,1260,1220,8940,4570,1910,1730,3820,1860,830,7300,4080,7770,6690,1090,6710,570,830,4350,1290,7640,700,14860,13620,850,10950,1580,3530,9870,700,6100,1180,5520,18810,4170,350,5890,4440,380,4010,590
39-3092,Costume Attendants,0.61,0,0,50,0,1800,0,60,0,70,0,310,0,0,100,40,0,0,0,110,0,50,50,100,120,0,120,0,0,290,0,0,0,1360,50,0,110,0,0,210,0,0,0,70,200,90,0,80,80,0,0,0
39-3093,Locker Room; Coatroom; and Dressing Room Attendants,0.43,50,50,510,50,2510,210,170,0,40,1310,250,320,30,930,50,250,220,0,80,240,300,330,570,150,100,1780,50,50,250,0,790,0,1720,210,70,570,220,80,780,50,170,0,40,1320,120,0,220,260,110,290,0
39-4011,Embalmers,0.54,70,0,0,130,480,120,0,0,0,150,230,50,0,130,0,0,110,260,150,0,0,0,40,0,0,210,0,0,0,0,0,0,0,40,0,0,180,0,0,0,100,0,200,240,0,0,180,0,0,0,0
39-4021,Funeral Attendants,0.37,820,30,450,320,2490,230,430,200,0,2570,1450,0,70,1220,1060,690,450,440,610,230,520,680,1420,610,190,1100,70,230,0,100,990,210,1270,1390,130,2350,620,200,2270,0,940,140,1270,1840,120,70,1700,210,510,590,60
39-4831,Funeral Service Managers; Directors; Morticians; and Undertakers,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39-5011,Barbers,0.8,0,0,0,0,1320,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,310,0,0,0,0,910,0,2130,300,0,0,0,0,990,0,0,0,0,3120,0,0,0,0,0,0,0
39-5012,Hairdressers; Hairstylists; and Cosmetologists,0.11,3450,510,7100,1640,27180,7340,5790,1770,1150,24620,8200,1030,1570,16420,6650,3360,3060,3250,2830,1130,8560,11440,10840,9680,1420,6240,640,2310,3280,1960,15610,1160,26410,7470,1250,17460,2600,2900,23680,1080,4330,910,6100,22690,3180,570,10190,9160,1450,9270,470
39-5091,Makeup Artists; Theatrical and Performance,0.01,0,0,0,0,1710,0,0,0,70,120,160,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,40,0,0,0,800,0,0,0,0,0,30,0,0,0,0,220,0,0,0,0,0,0,0
39-5092,Manicurists and Pedicurists,0.95,410,90,1340,170,20590,0,2330,260,50,3130,550,360,90,3750,540,150,820,130,1150,190,2170,4890,770,1260,0,580,200,80,200,440,7570,0,14080,830,0,1860,290,1860,4800,450,180,70,300,2260,0,0,2460,3870,40,690,60
39-5093,Shampooers,0.79,140,0,0,0,790,0,120,370,120,1020,580,0,0,1080,0,0,0,0,140,0,1790,520,110,0,0,0,0,0,0,0,2380,0,1890,180,0,140,0,0,1190,0,0,0,0,920,0,0,910,0,0,0,0
39-5094,Skincare Specialists,0.29,340,0,1500,110,5930,1330,650,0,0,2860,1340,270,70,2180,810,190,230,380,270,80,660,1020,1010,710,210,470,0,260,540,360,2110,130,3950,980,70,1440,60,740,1230,110,440,0,800,4410,670,120,910,870,0,690,0
39-6011,Baggage Porters and Bellhops,0.83,290,90,740,130,5660,640,180,30,670,10800,880,1380,60,1740,580,0,50,140,480,0,380,680,800,330,220,550,70,130,2710,60,560,210,4250,550,140,490,260,270,1320,100,340,60,500,2260,280,130,1330,520,130,180,60
39-6012,Concierges,0.21,0,60,930,0,3620,680,160,0,780,4760,580,800,80,1150,170,90,80,60,270,0,580,970,460,460,0,640,60,130,1230,0,750,30,4040,210,0,310,140,290,580,30,240,0,610,2690,150,0,1930,510,60,240,40
39-7011,Tour Guides and Escorts,0.91,330,680,1130,170,4580,1340,270,250,500,1790,850,1340,90,840,490,220,140,490,680,90,380,1690,1100,720,140,920,120,130,460,180,340,270,2470,830,0,710,320,210,1600,390,850,410,1050,2050,980,150,1450,1150,100,970,240
39-7012,Travel Guides,0.057,0,0,130,0,410,0,0,0,50,70,0,0,0,0,0,0,0,0,0,0,0,260,0,0,40,0,0,0,0,0,30,0,170,110,0,0,0,70,0,0,0,0,0,30,140,0,0,0,90,0,0
39-9011,Childcare Workers,0.084,9000,2500,7980,7040,58510,8310,8610,1580,1750,35760,19070,2620,1830,17200,9580,7850,6320,12220,8210,3050,9750,12560,16900,10140,6410,12780,2420,7910,3130,2770,17750,2550,36510,21610,2790,20310,7980,5990,22040,1690,6640,2710,9960,56660,6020,1130,13580,8430,2250,7170,1850
39-9021,Personal Care Aides,0.74,13230,4900,38670,15460,144310,23640,23510,3880,5260,25020,19740,3940,10840,43150,27790,16230,17500,14740,33410,13340,14330,42190,37870,67420,10630,42140,4740,6810,11020,7410,10460,23940,156830,22130,4940,26520,12100,19330,92040,3390,14020,2600,17150,188790,7870,6680,41200,26820,10710,59690,1890
39-9031,Fitness Trainers and Aerobics Instructors,0.085,2230,560,5100,1190,30600,7150,3670,980,1080,13870,4470,950,1490,13350,4080,3510,2630,2030,2320,820,6550,9990,5400,5140,960,2930,1100,1710,2030,1770,10940,1350,18420,9040,890,7870,2160,4460,10980,630,2770,1010,2990,14800,3480,810,10890,7460,850,5290,620
39-9032,Recreation Workers,0.0061,3980,590,5510,1780,47950,6770,4500,890,580,21070,7910,2380,1270,21230,5540,4140,3860,2860,3090,1170,5510,9790,11160,8010,1660,5470,2090,1610,1470,1590,9990,2170,27260,7060,860,13070,1870,4250,12810,790,4460,660,6080,18670,3700,1120,10810,6120,1380,7660,690
39-9041,Residential Advisors,0.064,2250,150,1010,850,6560,540,1990,310,920,6150,2120,310,550,4020,1720,860,1120,3660,590,260,5120,7350,2060,1680,770,1470,190,410,410,430,810,510,6330,1440,850,3040,1180,1170,8060,740,1910,2350,7850,7810,2150,410,3150,1350,770,2330,290
41-1011,First-Line Supervisors of Retail Sales Workers,0.28,24120,2360,26250,12890,117160,18540,15300,4080,1580,88970,36740,6360,6090,43500,26520,12700,12790,16270,21600,6000,26820,28010,34670,21700,11860,24930,5160,7820,10720,7100,31440,8640,63120,40660,4040,42030,17480,14330,41690,4010,22830,2970,30190,98400,9700,2600,32530,22040,8080,16110,2770
41-1012,First-Line Supervisors of Non-Retail Sales Workers,0.075,3270,150,6080,2640,28670,4890,2670,610,420,22610,5560,1310,970,8140,4380,1900,1810,2680,1980,810,5400,5040,6850,3570,1480,3950,850,2690,1370,1830,6610,940,21180,9020,600,8300,2750,2370,9900,1120,3410,580,5980,25420,1880,680,6810,3910,630,5740,230
41-2011,Cashiers,0.97,72610,6470,67040,34480,404500,59540,38800,11800,9270,240010,110850,16130,15190,127700,70440,42200,36480,49550,71140,16000,77520,72200,92860,63650,38690,74790,14750,26060,34490,22330,95550,21580,193860,112280,10240,117390,43690,45730,147440,10540,64740,13200,72320,272270,28080,9700,108920,65350,22390,61290,6880
41-2012,Gaming Change Persons and Booth Cashiers,0.83,0,0,820,0,2680,120,0,0,0,1210,0,0,70,410,330,180,120,190,1040,0,0,0,800,660,720,200,0,0,1720,0,750,550,880,0,120,420,1910,350,750,0,0,290,0,140,0,0,0,890,1130,490,0
41-2021,Counter and Rental Clerks,0.97,8810,930,9930,3510,86240,13750,4190,1180,510,29780,9820,1900,1460,10660,9460,4040,4250,6080,5660,1530,10300,7560,11790,6090,2580,4630,1580,3820,4950,1890,8940,3020,21180,12330,680,13780,3480,4510,13170,1300,4860,930,7220,46870,3230,910,13940,11310,980,7780,1020
41-2022,Parts Salespersons,0.98,4200,700,4260,3150,25190,4700,2520,770,0,15130,7570,600,1700,8990,5650,3790,2910,3560,4300,1370,3730,3890,9090,4930,2530,5640,1330,2250,1930,1550,5090,1740,9640,8720,1730,10500,3730,4170,9000,850,3210,1620,5910,22820,2200,580,6110,5150,1600,5520,910
41-2031,Retail Salespersons,0.92,59690,10470,90030,37840,440440,83670,51540,17750,6500,339070,141860,23110,25270,186820,92400,44500,39580,57080,61120,20190,69470,107880,147440,84730,39600,82100,15920,29780,49650,25920,131080,26880,322970,140410,13610,157460,49280,61610,176270,13720,69430,15500,93500,383080,43450,9100,122290,101850,21980,85100,8580
41-3011,Advertising Sales Agents,0.54,1560,230,2450,1020,16880,2240,1940,300,730,11160,4810,330,630,8850,2370,1790,1570,1330,1490,520,1210,2840,4140,2840,860,2730,620,820,790,570,2220,570,21790,3370,570,3960,1020,1210,4740,530,1490,520,2270,7700,1130,270,2370,2530,670,2280,290
41-3021,Insurance Sales Agents,0.92,5680,610,8590,2950,38280,10250,6450,1070,260,30060,12280,1020,1590,14730,9260,6340,3910,4190,6330,1820,7140,7430,10850,7440,2700,8810,1420,3380,3110,1540,10660,1270,21040,10000,1090,15460,4250,4050,15420,1370,6260,1870,7780,32330,3420,860,10180,8300,1830,8180,610
41-3031,Securities; Commodities; and Financial Services Sales Agents,0.016,1690,200,6670,1370,45960,10850,5590,1990,1410,24860,7240,660,1290,18760,4070,3040,1780,2900,2140,720,3530,9530,6750,8180,610,5410,680,2240,2230,2250,11600,1060,57560,8430,520,10190,1730,3760,10010,1720,1970,530,3880,34780,4110,470,5240,5790,550,4990,280
41-3041,Travel Agents,0.099,370,140,1420,180,8890,1630,650,160,420,6700,1890,670,140,4740,690,400,310,220,430,180,1650,2310,1930,940,70,1810,230,520,1030,340,2400,160,5980,1310,160,1670,330,600,2650,190,880,150,590,4360,1030,160,2130,1400,110,1290,80
41-4011,Sales Representatives; Wholesale and Manufacturing; Technical and Scientific Products,0.25,890,500,6910,2840,46150,5590,3970,1190,500,22110,9840,990,1080,12630,7560,2000,2420,2830,2760,620,5550,18130,9070,6550,820,4630,380,1800,1150,3260,6370,1170,16220,9660,1090,18710,6390,3570,13030,530,3350,1550,8600,33000,4180,590,6220,4660,750,3720,330
41-4012,Sales Representatives; Wholesale and Manufacturing; Except Technical and Scientific Products,0.85,23200,1670,21730,13830,141140,29830,15200,2810,980,95130,58500,3420,6430,69240,30610,15830,14990,18320,22980,4250,16720,24380,54300,32800,7180,24350,4690,11050,9080,7270,44070,4730,87710,45460,3670,48290,10020,16180,63350,5630,20450,5390,21240,118160,14440,2370,29500,35710,4830,38650,2310
41-9011,Demonstrators and Product Promoters,0.51,780,220,2090,1650,19350,0,1120,280,60,4900,2300,420,670,2700,1430,1120,680,1200,220,140,950,1370,1630,2060,100,3260,0,320,0,80,1460,410,4460,2280,90,1120,230,1450,2040,150,1350,110,2710,8560,770,70,2730,2440,70,1420,0
